".scenario.id",".at","prevpos.retest.start","second.genps.start","part.index.prob","part.ppindex.prob","part.ident.main.prob","part.ident.casl.prob","part.ident.ooff.prob","part.hiv.test.rate_1","part.hiv.test.rate_2","part.hiv.test.rate_3","part.prep.start.prob_1","part.prep.start.prob_2","part.prep.start.prob_3","part.tx.init.rate_1","part.tx.init.rate_2","part.tx.init.rate_3","part.tx.reinit.rate_1","part.tx.reinit.rate_2","part.tx.reinit.rate_3"
"b001_0_0_base",3901,3901,Inf,0,0,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b002_0.071_0_base",3901,3901,Inf,0.071,0.071,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b003_0.143_0_base",3901,3901,Inf,0.143,0.143,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b004_0.214_0_base",3901,3901,Inf,0.214,0.214,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b005_0.286_0_base",3901,3901,Inf,0.286,0.286,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b006_0.357_0_base",3901,3901,Inf,0.357,0.357,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b007_0.429_0_base",3901,3901,Inf,0.429,0.429,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b008_0.5_0_base",3901,3901,Inf,0.5,0.5,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b009_0.571_0_base",3901,3901,Inf,0.571,0.571,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b010_0.643_0_base",3901,3901,Inf,0.643,0.643,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b011_0.714_0_base",3901,3901,Inf,0.714,0.714,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b012_0.786_0_base",3901,3901,Inf,0.786,0.786,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b013_0.857_0_base",3901,3901,Inf,0.857,0.857,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b014_0.929_0_base",3901,3901,Inf,0.929,0.929,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b015_1_0_base",3901,3901,Inf,1,1,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b016_0_0.071_base",3901,3901,Inf,0,0,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b017_0.071_0.071_base",3901,3901,Inf,0.071,0.071,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b018_0.143_0.071_base",3901,3901,Inf,0.143,0.143,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b019_0.214_0.071_base",3901,3901,Inf,0.214,0.214,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b020_0.286_0.071_base",3901,3901,Inf,0.286,0.286,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b021_0.357_0.071_base",3901,3901,Inf,0.357,0.357,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b022_0.429_0.071_base",3901,3901,Inf,0.429,0.429,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b023_0.5_0.071_base",3901,3901,Inf,0.5,0.5,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b024_0.571_0.071_base",3901,3901,Inf,0.571,0.571,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b025_0.643_0.071_base",3901,3901,Inf,0.643,0.643,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b026_0.714_0.071_base",3901,3901,Inf,0.714,0.714,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b027_0.786_0.071_base",3901,3901,Inf,0.786,0.786,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b028_0.857_0.071_base",3901,3901,Inf,0.857,0.857,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b029_0.929_0.071_base",3901,3901,Inf,0.929,0.929,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b030_1_0.071_base",3901,3901,Inf,1,1,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b031_0_0.143_base",3901,3901,Inf,0,0,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b032_0.071_0.143_base",3901,3901,Inf,0.071,0.071,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
