.scenario.id,.at,prevpos.retest.start,second.genps.start,part.index.prob,part.ppindex.prob,part.ident.main.prob,part.ident.casl.prob,part.ident.ooff.prob,part.hiv.test.rate_1,part.hiv.test.rate_2,part.hiv.test.rate_3,part.prep.start.prob_1,part.prep.start.prob_2,part.prep.start.prob_3,part.tx.init.rate_1,part.tx.init.rate_2,part.tx.init.rate_3,part.tx.reinit.rate_1,part.tx.reinit.rate_2,part.tx.reinit.rate_3
a001base,0,Inf,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
a002indexinitpsprob70,0,Inf,Inf,0.7,0.7,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
a003indexinitpsprob80,0,Inf,Inf,0.8,0.8,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
a004indexinitpsprob90,0,Inf,Inf,0.9,0.9,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
a005indexinitpsprob100,0,Inf,Inf,1,1,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
a006partidentprob11,0,Inf,Inf,0.666,0.64,0.1727,0.09451103,0.04959936,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
a007partidentprob15,0,Inf,Inf,0.666,0.64,0.2355,0.1334656,0.07150448,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
a008partidentprob100,0,Inf,Inf,0.666,0.64,1,1,1,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
a009parthivscrnprob11,0,Inf,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.4338,0.4338,0.4338,0,0,0,0.387,0.387,0.387,0,0,0
a010arthivscrnprob15,0,Inf,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.591,0.591,0.591,0,0,0,0.387,0.387,0.387,0,0,0
a011parthivscrnprob20,0,Inf,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.788,0.788,0.788,0,0,0,0.387,0.387,0.387,0,0,0
a012parthivscrnprob100,0,Inf,Inf,0.666,0.64,0.157,0.08518719,0.04448852,1,1,1,0,0,0,0.387,0.387,0.387,0,0,0
a013partprepstartprob10,0,Inf,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.1,0.1,0.1,0.387,0.387,0.387,0,0,0
a014partprepstartprob25,0,Inf,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.25,0.25,0.25,0.387,0.387,0.387,0,0,0
a015partprepstartprob50,0,Inf,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0,0,0
a016partprepstartprob75,0,Inf,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.75,0.75,0.75,0.387,0.387,0.387,0,0,0
a017partprepstartprob100,0,Inf,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,1,1,1,0.387,0.387,0.387,0,0,0
